FileName,CX,CY,W,H,Class
image no (245).jpg,38,282,264,130,hardhat
image no (245).jpg,488,224,314,105,hardhat
image no (246).jpg,609,10,272,149,hardhat
image no (246).jpg,574,229,434,482,vest
image no (247).jpg,600,19,283,156,hardhat
image no (248).jpg,252,125,354,134,hardhat
image no (248).jpg,125,345,558,490,vest
image no (249).jpg,238,65,393,201,hardhat
image no (249).jpg,208,416,470,627,vest
image no (250).jpg,362,74,352,270,hardhat
image no (250).jpg,521,6,212,398,vest
image no (251).jpg,413,276,315,220,hardhat
image no (251).jpg,750,314,448,196,hardhat
image no (252).jpg,311,46,264,116,hardhat
image no (252).jpg,209,986,485,241,boots
image no (253).jpg,287,19,305,129,hardhat
image no (253).jpg,254,249,472,498,vest
image no (254).jpg,23,22,679,432,hardhat
image no (255).jpg,224,120,333,143,hardhat
image no (255).jpg,132,333,574,731,vest
image no (256).jpg,292,79,324,164,hardhat
image no (256).jpg,238,326,407,588,vest
image no (257).jpg,149,59,1675,893,hardhat
image no (260).jpg,839,11,390,145,hardhat
image no (260).jpg,757,375,334,106,vest
image no (261).jpg,49,37,83,58,hardhat
image no (261).jpg,219,264,107,60,hardhat
image no (261).jpg,370,39,96,75,hardhat
image no (261).jpg,499,3,78,47,hardhat
image no (261).jpg,519,62,44,38,mask
image no (261).jpg,400,114,38,34,mask
image no (261).jpg,205,90,57,40,mask
image no (261).jpg,72,99,47,30,mask
image no (261).jpg,24,126,122,126,vest
image no (261).jpg,171,136,117,119,vest
image no (261).jpg,487,108,107,120,vest
image no (262).jpg,94,91,221,150,hardhat
image no (262).jpg,688,140,214,123,hardhat
image no (262).jpg,1040,374,205,88,hardhat
image no (262).jpg,1088,491,139,81,mask
image no (262).jpg,782,258,114,91,mask
image no (262).jpg,423,486,118,87,mask
image no (262).jpg,172,248,89,58,mask
image no (262).jpg,42,287,228,296,vest
image no (262).jpg,336,573,241,281,vest
image no (262).jpg,996,532,263,319,vest
image no (264).jpg,583,110,77,67,mask
image no (265).jpg,130,412,231,213,mask
image no (265).jpg,808,414,176,140,mask
image no (265).jpg,1154,270,192,162,mask
image no (266).jpg,42,19,132,53,hardhat
image no (266).jpg,312,17,154,51,hardhat
image no (266).jpg,2,151,224,257,vest
image no (266).jpg,260,152,222,262,vest
image no (267).jpg,369,42,218,129,hardhat
image no (267).jpg,608,52,129,93,hardhat
image no (267).jpg,783,30,166,99,hardhat
image no (270).jpg,411,17,469,304,hardhat
image no (270).jpg,141,548,678,294,vest
image no (271).jpg,240,478,409,326,boots
image no (272).jpg,1106,53,1278,645,hardhat
image no (272).jpg,1610,1373,1018,809,vest
image no (273).jpg,457,31,379,196,hardhat
image no (274).jpg,208,196,491,237,boots
image no (274).jpg,770,329,341,179,boots
image no (275).jpg,1225,134,747,485,hardhat
image no (275).jpg,3927,366,679,470,hardhat
image no (275).jpg,2218,567,635,418,hardhat
image no (275).jpg,4652,418,538,418,hardhat
image no (275).jpg,1150,4181,1195,269,boots
image no (276).jpg,62,94,180,113,hardhat
image no (276).jpg,182,63,108,72,hardhat
image no (276).jpg,25,254,209,183,mask
image no (276).jpg,227,168,91,92,vest
image no (277).jpg,334,21,137,116,hardhat
image no (277).jpg,374,165,146,107,vest
image no (278).jpg,52,71,242,193,hardhat
image no (278).jpg,310,64,116,94,mask
image no (278).jpg,541,136,238,317,boots
image no (278).jpg,28,168,518,312,vest
image no (279).jpg,680,68,470,535,boots
image no (280).jpg,63,144,281,261,vest
image no (280).jpg,57,710,226,87,boots
image no (281).jpg,606,121,173,100,hardhat
image no (281).jpg,411,890,297,268,boots
image no (281).jpg,439,240,277,420,vest
image no (282).jpg,199,60,216,150,hardhat
image no (283).jpg,305,48,314,186,hardhat
image no (284).jpg,1278,359,1146,479,hardhat
image no (284).jpg,941,1744,1706,697,vest
image no (285).jpg,106,81,84,74,hardhat
image no (285).jpg,202,85,89,68,hardhat
image no (285).jpg,409,132,71,63,hardhat
image no (285).jpg,527,96,111,53,hardhat
image no (286).jpg,9,106,502,217,vest
image no (287).jpg,516,288,80,56,hardhat
image no (287).jpg,623,104,29,53,hardhat
image no (287).jpg,626,372,55,37,hardhat
image no (287).jpg,610,456,41,36,hardhat
image no (287).jpg,878,477,62,45,hardhat
image no (287).jpg,695,520,39,24,hardhat
image no (287).jpg,603,141,77,88,vest
image no (287).jpg,535,338,65,46,vest
image no (287).jpg,529,440,76,50,boots
image no (288).jpg,217,12,121,51,hardhat
image no (288).jpg,169,105,197,230,vest
image no (289).jpg,212,2599,1671,835,vest
image no (289).jpg,3634,2905,517,754,vest
image no (290).jpg,536,113,223,121,hardhat
image no (290).jpg,520,367,304,357,vest
image no (291).jpg,158,108,242,203,vest
image no (292).jpg,53,9,205,154,vest
image no (293).jpg,87,90,862,907,vest
image no (294).jpg,650,480,241,172,hardhat
image no (294).jpg,736,304,290,422,vest
image no (295).jpg,8,4,353,460,vest
image no (296).jpg,307,63,348,379,vest
image no (297).jpg,54,79,897,618,vest
image no (298).jpg,360,8,217,320,vest
image no (298).jpg,247,120,158,151,hardhat
image no (299).jpg,763,44,316,229,hardhat
image no (299).jpg,1193,97,203,236,hardhat
image no (299).jpg,719,305,326,333,vest
image no (299).jpg,1102,294,261,366,vest
image no (300).jpg,158,94,116,100,hardhat
image no (300).jpg,323,138,99,93,hardhat
image no (300).jpg,453,140,81,91,hardhat
image no (300).jpg,569,151,86,68,hardhat
image no (300).jpg,694,164,103,76,hardhat
image no (300).jpg,120,245,199,264,vest
image no (300).jpg,323,266,110,211,vest
image no (300).jpg,450,268,93,199,vest
image no (300).jpg,556,276,125,158,vest
image no (300).jpg,695,270,135,185,vest
image no (300).jpg,413,695,151,55,boots
image no (300).jpg,575,683,113,49,boots
image no (300).jpg,710,670,118,53,boots
image no (300).jpg,135,681,128,54,boots
image no (1).jpeg,624,196,78,64,mask
image no (1).jpeg,852,244,81,75,mask
image no (1).jpeg,480,216,68,44,mask
image no (1).jpeg,382,300,59,53,mask
image no (1).jpeg,112,207,126,71,mask
image no (1).jpeg,730,191,66,59,mask
image no (1).jpg,497,68,276,189,hardhat
image no (1).jpg,394,386,473,729,vest
image no (2).jpeg,81,162,168,107,hardhat
image no (2).jpg,150,10,90,51,hardhat
image no (2).jpg,386,5,72,25,hardhat
image no (2).jpg,116,96,138,172,vest
image no (2).jpg,343,71,149,133,vest
image no (3).jpg,203,11,132,95,hardhat
image no (3).jpg,281,107,234,314,vest
image no (4).jpg,313,186,108,216,vest
image no (4).jpg,32,134,184,213,vest
image no (4).png,318,19,251,183,hardhat
image no (5).jpg,404,290,444,630,vest
image no (5).png,170,216,46,90,vest
image no (5).png,226,229,47,80,vest
image no (5).png,191,185,30,27,hardhat
image no (5).png,245,195,29,26,hardhat
image no (6).jpg,159,20,119,64,hardhat
image no (6).jpg,166,177,193,154,vest
image no (6).png,165,2,217,71,hardhat
image no (7).jpg,186,40,123,179,vest
image no (7).jpg,414,92,92,179,vest
image no (7).jpg,523,100,63,140,vest
image no (7).jpg,99,381,81,33,boots
image no (7).png,288,27,306,180,hardhat
image no (7).png,223,443,466,650,vest
image no (8).jpg,892,126,286,193,hardhat
image no (8).jpg,1257,277,201,198,hardhat
image no (8).jpg,691,387,551,386,vest
image no (8).jpg,1335,563,249,233,vest
image no (8).png,57,86,110,126,vest
image no (8).png,32,366,120,46,boots
image no (11).jpg,34,119,528,788,boots
image no (13).jpg,90,138,714,904,boots
image no (14).jpg,133,591,421,359,boots
image no (15).jpg,213,110,250,266,boots
image no (15).jpg,500,175,300,335,boots
image no (15).jpg,889,298,382,390,boots
image no (16).jpg,117,1,549,579,boots
image no (17).jpg,24,355,620,550,boots
